time,speed,accel,accelOpen,distance,TTC,roadClassSig,suddenAccelCount,suddenReduceCount,reduceStartCount,TTCRiskCount,distanceOnExpressWayCount,distanceOnOpenRoadCount,distanceofFollowStopCount,driveScene,withFrontCar,roadClass
000,0,0,0,0,0,,0,0,0,0,0,0,0,’â,–³,
001,0,0,0,13,0,,0,0,0,0,0,0,0,’â,–¢,
002,0,0,0,13,–³ŒÀ‘å,,0,0,0,0,0,0,0,’â,–¢,
003,0,0,0,13,–³ŒÀ‘å,,0,0,0,0,0,0,0,’â,–¢,
004,0,0,0,13,–³ŒÀ‘å,,0,0,0,0,0,0,0,’â,–¢,
005,0,0,0,13,13.753998041152952,,0,0,0,0,0,0,0,’â,Ú,
006,0,0,0,13,–³ŒÀ‘å,,0,0,0,0,0,0,0,’â,Ú,
007,0,0,0,13,–³ŒÀ‘å,,0,0,0,0,0,0,0,’â,Ú,
008,0,0,0,13,–³ŒÀ‘å,,0,0,0,0,0,0,0,’â,Ú,
009,0,0,0,13,–³ŒÀ‘å,,0,0,0,0,0,0,0,’â,Ú,
010,0,0,0,13,–³ŒÀ‘å,,0,0,0,0,0,0,0,’â,Ú,
011,0,0,0,13,–³ŒÀ‘å,,0,0,0,0,0,0,0,’â,Ú,
012,0,0,0,13,–³ŒÀ‘å,,0,0,0,0,0,0,0,’â,Ú,
013,0,0,0,13,–³ŒÀ‘å,,0,0,0,0,0,0,0,’â,Ú,
014,0,0,0,13,–³ŒÀ‘å,,0,0,0,0,0,0,0,’â,Ú,
015,0,0,0,13,–³ŒÀ‘å,,0,0,0,0,0,0,0,’â,Ú,
016,1.51,0.2964426631635787,6.5,13,–³ŒÀ‘å,,0,0,0,0,0,0,0,’â,Ú,
017,3.63,0.5213589298509622,11.5,13,–³ŒÀ‘å,,0,0,0,0,0,0,0,”­,Ú,
018,5.89,0.6492439575542798,15,255,12.072000503540039,,0,0,0,0,0,0,0,”­,Ú,
019,7.93,0.6028847947741144,15,255,–³Œø,,0,0,0,0,0,0,0,”­,–³,
020,9.44,0.4556433526403154,14,255,–³Œø,,0,0,0,0,0,0,0,”­,–³,
021,10.87,0.38401168489022497,12,255,–³Œø,,0,0,0,0,0,0,0,”­,–³,
022,10.81,0.13737774496148447,0,255,–³Œø,,0,0,0,0,0,0,0,”­,–³,
023,10.39,-0.1422356017487539,0,255,–³Œø,,0,0,0,0,0,0,0,”­,–³,
024,8.42,-0.38104703513316446,0,255,–³Œø,,0,0,0,0,0,0,0,”­,–³,
025,5.73,-0.7636790634720018,0,255,–³Œø,,0,0,0,0,0,0,0,”­,–³,
026,2.93,-0.7535753646512533,0,255,–³Œø,,0,0,0,0,0,0,0,”­,–³,
027,0,-0.772722043771273,0,255,–³Œø,,0,0,0,0,0,0,0,”­,–³,
028,0,-0.25527013119698944,0,255,–³Œø,,0,0,0,0,0,0,0,’â,–³,
029,0,0,0,255,–³Œø,,0,0,0,0,0,0,0,’â,–³,
030,0,0,0,255,–³Œø,,0,0,0,0,0,0,0,’â,–³,
031,0,0,0,255,–³Œø,,0,0,0,0,0,0,0,’â,–³,
032,1.46,0,0,255,–³Œø,,0,0,0,0,0,0,0,’â,–³,
033,1.72,0.6334320428604268,0,255,–³Œø,,0,0,0,0,0,0,0,”­,–³,
034,0,-0.6474939990383065,0,255,–³Œø,,0,0,0,0,0,0,0,’â,–³,
035,0,0,0,255,–³Œø,,0,0,0,0,0,0,0,’â,–³,
036,0,0,0,255,–³Œø,,0,0,0,0,0,0,0,’â,–³,
037,2.82,0.5145047201142989,13,255,–³Œø,,0,0,0,0,0,0,0,”­,–³,
038,6.19,0.9764309670249447,15.5,255,–³Œø,,0,0,0,0,0,0,0,”­,–³,
039,8.61,0.7755775650790271,17,255,–³Œø,,0,0,0,0,0,0,0,”­,–³,
040,10.35,0.517318857477541,12,255,–³Œø,,0,0,0,0,0,0,0,”­,–³,
041,10.07,0.07389163533556421,0,255,–³Œø,,0,0,0,0,0,0,0,”­,–³,
042,9.27,-0.2517176121889795,0,255,–³Œø,,0,0,0,0,0,0,0,”­,–³,
043,8.9,-0.13588377174865593,6.5,255,–³Œø,,0,0,0,0,0,0,0,”­,–³,
044,9.4,0.13188260406187216,0,255,–³Œø,,0,0,0,0,0,0,0,”­,–³,
045,8.84,-0.11257458196496956,0,255,–³Œø,,0,0,0,0,0,0,0,”­,–³,
046,6.42,-0.5304024327663669,0,255,–³Œø,,0,0,0,0,0,0,0,”­,–³,
047,4.22,-0.694444503432402,0,255,–³Œø,,0,0,0,0,0,0,0,”­,–³,
048,1.83,-0.5785894417469699,0,255,–³Œø,,0,0,0,0,0,0,0,”­,–³,
049,0,-0.6979624081828113,0,255,–³Œø,,0,0,0,0,0,0,0,’â,–³,
050,0,0,0,255,–³Œø,,0,0,0,0,0,0,0,’â,–³,
051,0.37,0,0,255,–³Œø,,0,0,0,0,0,0,0,’â,–³,
052,1.76,0.4474088342191049,0,255,–³Œø,,0,0,0,0,0,0,0,”­,–³,
053,2.02,0.11503928059776648,0,255,–³Œø,,0,0,0,0,0,0,0,”­,–³,
054,1.98,-0.11231646523090917,0,255,–³Œø,,0,0,0,0,0,0,0,”­,–³,
055,3.15,0.30113700675629357,7,255,–³Œø,,0,0,0,0,0,0,0,”­,–³,
056,5.39,0.5873956473796836,16.5,255,–³Œø,,0,0,0,0,0,0,0,”­,–³,
057,8.3,0.7654198000251371,16,255,–³Œø,,0,0,0,0,0,0,0,”­,–³,
058,10.49,0.6768190230130028,16,255,–³Œø,,0,0,0,0,0,0,0,”­,–³,
